,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
857,Mahindra XUV500,Mahindra,W6 4X2,2015,Manual,"36,489",1st,DieselKA-51,"₹20,976/month","₹11,02,000","₹21,544/month"
858,Toyota YARIS,Toyota,VX CVT,2018,Automatic,"54,445",1st,PetrolKA-02,"₹17,416/month","₹9,15,000","₹17,888/month"
859,Hyundai Verna,Hyundai,SX (O)1.0 TURBO DCT,2020,Automatic,"47,456",1st,PetrolKA-01,"₹27,714/month","₹14,56,000","₹28,465/month"
860,HYUNDAI ELITE I20,HYUNDAI,STA 1.2 (O),2016,Manual,"35,708",2nd,PetrolKA-53,"₹14,135/month","₹7,23,000",Zero Down Payment
861,Hyundai Grand i10,Hyundai,SPORTZ AT 1.2 KAPPA VTVT,2019,Automatic,"23,081",2nd,PetrolKA-41,"₹13,607/month","₹6,96,000",Zero Down Payment
862,Maruti Baleno,Maruti,DELTA CVT PETROL 1.2,2019,Automatic,"24,305",1st,PetrolKA-51,"₹15,327/month","₹7,84,000",Zero Down Payment
863,Maruti Swift,Maruti,ZXI PLUS AMT,2020,Automatic,"19,807",1st,PetrolKA-02,"₹16,388/month","₹8,61,000","₹16,833/month"
864,Maruti New Wagon-R,Maruti,VXI CNG 1.0,2022,Manual,"3,084",1st,CNGKA-02,"₹14,448/month","₹7,39,000",Zero Down Payment
865,Maruti Baleno,Maruti,LPHA CVT PETROL 1.2,2019,Automatic,"29,352",1st,PetrolKA-53,"₹16,788/month","₹8,82,000","₹17,243/month"
866,Renault Kwid,Renault,1.0 RXT Opt AT,2018,Automatic,"44,465",2nd,PetrolKA-04,"₹8,016/month","₹4,10,000",Zero Down Payment
867,Ford Ecosport,Ford,TITANIUM + 1.5L DIESEL,2019,Manual,"63,133",1st,DieselKA-05,"₹20,671/month","₹10,86,000","₹21,232/month"
868,Hyundai NEW SANTRO,Hyundai,STA 1.1 MT,2018,Manual,"53,605",1st,PetrolKA-01,"₹10,362/month","₹5,30,000",Zero Down Payment
869,TOYOTA Glanza,TOYOTA,V,2020,Manual,"31,925",1st,PetrolKA-04,"₹15,542/month","₹7,95,000",Zero Down Payment
870,Maruti VITARA BREZZA,Maruti,ZXI PLUS AT SHVS,2020,Automatic,"54,230",1st,PetrolKA-02,"₹22,251/month","₹11,69,000","₹22,854/month"
871,Maruti Alto K10,Maruti,VXI (O),2017,Manual,"57,632",1st,PetrolKA-50,"₹7,312/month","₹3,74,000",Zero Down Payment
872,Maruti Dzire,Maruti,VDI AMT,2017,Automatic,"83,991",1st,DieselKA-01,"₹14,467/month","₹7,40,000",Zero Down Payment
873,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2016,Manual,"32,628",2nd,PetrolKA-51,"₹9,540/month","₹4,88,000",Zero Down Payment
874,TOYOTA YARIS,TOYOTA,V CVT,2018,Automatic,"19,212",1st,PetrolKA-03,"₹18,615/month","₹9,78,000","₹19,120/month"
875,Toyota Glanza,Toyota,V CVT,2021,Automatic,"32,435",1st,PetrolKA-51,"₹18,634/month","₹9,79,000","₹19,140/month"
876,Toyota YARIS,Toyota,G CVT,2021,Automatic,"10,242",1st,PetrolKA-42,"₹20,195/month","₹10,61,000","₹20,743/month"
877,KIA SELTOS,KIA,HTX 1.5 PETROL,2021,Manual,"29,601",1st,PetrolKA-09,"₹27,561/month","₹14,48,000","₹28,309/month"
878,MAHINDRA XUV 3OO,MAHINDRA,1.2 W8 OPT,2020,Manual,"92,011",1st,PetrolKA-04,"₹19,776/month","₹10,39,000","₹20,313/month"
879,Maruti Swift,Maruti,VXI,2021,Manual,"35,058",1st,PetrolKA-51,"₹14,252/month","₹7,29,000",Zero Down Payment
880,Maruti Alto 800,Maruti,LXI,2012,Manual,"40,758",1st,PetrolKA-02,"₹5,494/month","₹2,81,000",Zero Down Payment
881,Maruti Vitara Brezza,Maruti,ZDI PLUS AMT,2018,Automatic,"39,514",1st,DieselKA-01,"₹19,510/month","₹10,25,000","₹20,039/month"
882,Maruti IGNIS,Maruti,DELTA 1.2 AMT,2017,Automatic,"44,728",2nd,PetrolKA-05,"₹11,339/month","₹5,80,000",Zero Down Payment
883,Maruti BALENO,Maruti,LPHA CVT PETROL 1.2,2017,Automatic,"22,223",1st,PetrolKA-51,"₹15,893/month","₹8,35,000","₹16,324/month"
884,Maruti Alto 800,Maruti,LXI,2016,Manual,"25,393",1st,PetrolKA-04,"₹6,237/month","₹3,19,000",Zero Down Payment
885,Tata NEXON,Tata,XZA PLUS DIESEL,2019,Automatic,"13,782",1st,DieselKA-03,"₹20,918/month","₹10,99,000","₹21,486/month"
886,Maruti RITZ,Maruti,VXI,2011,Manual,"84,623",1st,PetrolKA-04,"₹6,706/month","₹3,43,000",Zero Down Payment
887,Hyundai Verna,Hyundai,SX (O) 1.5 CRDI AT,2021,Automatic,"14,660",1st,DieselKA-04,"₹32,701/month","₹17,18,000","₹33,587/month"
888,KIA SELTOS,KIA,GTX PLUS DCT 1.4 PETROL,2019,Automatic,"10,573",1st,PetrolKA-01,"₹33,462/month","₹17,58,000","₹34,369/month"
889,KIA SELTOS,KIA,GTX+ 1.4 MT,2019,Manual,"32,040",2nd,PetrolKA-51,"₹27,352/month","₹14,37,000","₹28,094/month"
890,RENAULT DUSTER,RENAULT,RXZ 1.5 PETROL MT,2020,Manual,"20,546",2nd,PetrolKA-03,"₹21,394/month","₹11,24,000","₹21,974/month"
891,HONDA CITY,HONDA,VX MT PETROL,2015,Manual,"61,115",1st,PetrolKA-03,"₹15,303/month","₹8,04,000","₹15,718/month"
892,Maruti ALTO K10,Maruti,VXI (O),2016,Manual,"81,459",1st,PetrolKA-05,"₹6,373/month","₹3,26,000",Zero Down Payment
893,Renault TRIBER,Renault,RXZ AT,2020,Automatic,"20,553",1st,PetrolKA-05,"₹15,425/month","₹7,89,000",Zero Down Payment
894,Maruti Swift,Maruti,VXI,2019,Manual,"43,271",1st,PetrolKA-03,"₹12,825/month","₹6,56,000",Zero Down Payment
895,Maruti Baleno,Maruti,DELTA CVT PETROL 1.2,2018,Automatic,"67,408",1st,PetrolKA-01,"₹13,724/month","₹7,02,000",Zero Down Payment
896,Maruti S PRESSO,Maruti,VXI+,2022,Manual,"6,733",1st,PetrolKA-53,"₹10,342/month","₹5,29,000",Zero Down Payment
897,Maruti Dzire,Maruti,VDI AMT,2017,Automatic,"67,184",1st,DieselKA-03,"₹15,034/month","₹7,69,000",Zero Down Payment
898,Renault Duster,Renault,RXZ AMT 110 PS,2016,Automatic,"53,576",1st,DieselKA-53,"₹16,579/month","₹8,71,000","₹17,028/month"
899,Maruti IGNIS,Maruti,LPHA 1.2 DUAL TONE,2018,Manual,"5,458",1st,PetrolKA-03,"₹13,275/month","₹6,79,000",Zero Down Payment
900,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT,2020,Automatic,"15,365",2nd,PetrolKA-03,"₹23,184/month","₹12,18,000","₹23,812/month"
901,Toyota YARIS,Toyota,J MT,2020,Manual,"42,247",1st,PetrolKA-05,"₹16,617/month","₹8,73,000","₹17,067/month"
902,Maruti Swift,Maruti,ZXI AMT,2018,Automatic,"67,013",1st,PetrolKA-51,"₹14,682/month","₹7,51,000",Zero Down Payment
903,Hyundai Creta,Hyundai,SX 1.6 DIESEL,2018,Manual,"84,766",1st,DieselKA-02,"₹22,308/month","₹11,72,000","₹22,913/month"
904,KIA SONET,KIA,GTX PLUS 1.5D  AT,2020,Automatic,"52,138",1st,DieselKA-19,"₹27,162/month","₹14,27,000","₹27,898/month"
905,KIA SELTOS,KIA,GTX + AT PETROL,2019,Automatic,"38,093",1st,PetrolKA-51,"₹34,052/month","₹17,89,000","₹34,975/month"
906,Renault Kwid,Renault,1.0 CLIMBER OPT,2021,Manual,"41,968",1st,PetrolKA-50,"₹10,479/month","₹5,36,000",Zero Down Payment
907,Maruti Alto K10,Maruti,VXI (O),2017,Manual,"34,911",1st,PetrolKA-51,"₹7,488/month","₹3,83,000",Zero Down Payment
908,Skoda KUSHAQ,Skoda,STYLE 1.5L TSI MT,2021,Manual,"17,136",1st,PetrolKA-03,"₹33,329/month","₹17,51,000","₹34,232/month"
909,MAHINDRA XUV500,MAHINDRA,W10 AT FWD,2017,Automatic,"69,583",1st,DieselKA-03,"₹27,771/month","₹14,59,000","₹28,524/month"
910,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE,2017,Manual,"59,822",1st,DieselKA-02,"₹18,977/month","₹9,97,000","₹19,492/month"
911,HYUNDAI TUCSON NEW,HYUNDAI,GLS 2WD AT PETROL,2018,Automatic,"66,774",2nd,PetrolKA-05,"₹28,170/month","₹14,80,000","₹28,934/month"
912,KIA SELTOS,KIA,1.4 GTX+ TURBO GDI PETROL AT,2020,Automatic,"44,116",2nd,PetrolKA-51,"₹30,207/month","₹15,87,000","₹31,026/month"
913,Maruti Alto 800,Maruti,LXI,2015,Manual,"70,790",2nd,PetrolKA-08,"₹5,572/month","₹2,85,000",Zero Down Payment
