cars_name,cars_brand,model_year,kms,gasoliene_type,price
Hyundai Xcent,Hyundai,2015,77452,Petrol,475000
Mahindra Tuv300,Mahindra,2016,43214,Diesel,777000
Maruti Ritz,Maruti,2010,79984,Petrol,330000
Honda Wr-V,Honda,2017,44532,Diesel,844000
Skoda Rapid,Skoda,2014,91319,Diesel,485000
Mahindra Thar,Mahindra,2021,9823,Petrol,1594000
Hyundai Elite I20,Hyundai,2019,12009,Petrol,809700
Maruti Swift,Maruti,2018,10977,Petrol,656000
Maruti Swift,Maruti,2012,65128,Diesel,426000
Renault Kwid,Renault,2021,17236,Petrol,460000
Hyundai Elite I20,Hyundai,2015,51512,Petrol,617000
Honda City,Honda,2013,104570,Petrol,452000
Renault Duster,Renault,2019,37002,Petrol,879000
Maruti Swift,Maruti,2010,36650,Petrol,370000
Ford Ecosport,Ford,2016,90117,Diesel,664000
Honda Jazz,Honda,2017,55453,Petrol,594000
Maruti Swift,Maruti,2013,31742,Petrol,492000
Volkswagen Polo,Volkswagen,2018,73479,Petrol,964000
Maruti Ciaz,Maruti,2018,84331,Petrol,821000
Hyundai Elite I20,Hyundai,2019,9839,Petrol,881000
Kia Seltos,Kia,2019,77010,Petrol,1117000
Maruti Dzire,Maruti,2018,76303,Petrol,655000
Maruti Celerio,Maruti,2018,23079,Petrol,512000
Honda City,Honda,2017,51611,Petrol,731000
Maruti Ritz,Maruti,2013,80297,Petrol,417000
Tata Harrier,Tata,2020,46493,Diesel,1764000
Hyundai Verna,Hyundai,2017,52361,Petrol,785000
Maruti New Wagon-R,Maruti,2019,13673,Petrol,635000
Hyundai Grand I10 Nios,Hyundai,2020,43580,Petrol,701000
Tata Tiago,Tata,2017,49858,Petrol,495000
Toyota Glanza,Toyota,2020,27120,Petrol,820000
Honda Jazz,Honda,2015,64524,Petrol,567000
Hyundai Santro Xing,Hyundai,2010,60248,Petrol,236000
Renault Duster,Renault,2014,67733,Diesel,626000
Kia Seltos,Kia,2020,17147,Petrol,1409000
Maruti Baleno,Maruti,2016,32996,Petrol,616000
Hyundai Elite I20,Hyundai,2016,45422,Petrol,616000
Hyundai New Santro,Hyundai,2019,33946,Petrol,460000
Maruti Baleno,Maruti,2019,25651,Petrol,800000
Hyundai I20,Hyundai,2014,37654,Petrol,560000
Maruti Ciaz,Maruti,2020,68837,Petrol,878000
Maruti Swift,Maruti,2015,69216,Petrol,505000
Honda City,Honda,2014,58778,Petrol,565000
Hyundai Creta,Hyundai,2020,23048,Petrol,1568000
Maruti Swift,Maruti,2019,54089,Petrol,700000
Maruti Dzire,Maruti,2019,58998,Petrol,694000
Hyundai Grand I10,Hyundai,2017,34379,Petrol,535000
Maruti Baleno,Maruti,2018,74991,Diesel,632000
Hyundai Creta,Hyundai,2017,39759,Petrol,913000
Maruti Celerio,Maruti,2014,99227,Petrol,390000
Mahindra Kuv100,Mahindra,2017,51500,Diesel,500000
Honda Wr-V,Honda,2018,37566,Petrol,811000
Maruti Swift,Maruti,2013,85026,Petrol,485000
Maruti Celerio,Maruti,2014,38211,Petrol,406000
Maruti Celerio,Maruti,2015,94175,Petrol,384000
Nissan Magnite,Nissan,2022,13800,Petrol,1051000
